no;block_unique;block;block.pair;cz;population;isoline;treatment;temperature;repr.type;sum;propN_start;propN_F1;fitness;anc_pop
45;IV.II_ancWT6_Iz6;IV.II;IV;II;ancWT6;Iz6;anc;20C;WT;1216;0.647840532;0.721217105;0.073376574;X
46;IV.II_ancWT6_Iz6;IV.II;IV;II;ancWT6;Iz6;anc;20C;WT;541;0.647840532;0.722735675;0.074895143;X
47;IV.II_ancWT6_Iz6;IV.II;IV;II;ancWT6;Iz6;anc;20C;WT;874;0.647840532;0.727688787;0.079848256;X
48;IV.II_ancWT6_Iz6;IV.II;IV;II;ancWT6;Iz6;anc;20C;WT;942;0.647840532;0.781316348;0.133475817;X
49;II.II_ancWT8_Iz8;II.II;II;II;ancWT8;Iz8;anc;20C;WT;660;0.45049505;0.415151515;-0.035343534;X
50;II.II_ancWT8_Iz8;II.II;II;II;ancWT8;Iz8;anc;20C;WT;990;0.45049505;0.42020202;-0.030293029;X
51;II.II_ancWT8_Iz8;II.II;II;II;ancWT8;Iz8;anc;20C;WT;1364;0.45049505;0.43914956;-0.011345489;X
52;II.I_ancWT8_Iz8;II.I;II;I;ancWT8;Iz8;anc;20C;WT;606;0.537777778;0.45049505;-0.087282728;X
53;II.I_ancWT8_Iz8;II.I;II;I;ancWT8;Iz8;anc;20C;WT;444;0.537777778;0.454954955;-0.082822823;X
54;II.I_ancWT8_Iz8;II.I;II;I;ancWT8;Iz8;anc;20C;WT;336;0.537777778;0.467261905;-0.070515873;X
55;II.I_ancWT8_Iz8;II.I;II;I;ancWT8;Iz8;anc;20C;WT;599;0.537777778;0.475792988;-0.061984789;X
56;II.II_ancWT8_Iz8;II.II;II;II;ancWT8;Iz8;anc;20C;WT;1014;0.45049505;0.499013807;0.048518757;X
57;III.I_ancWT9_Iz9;III.I;III;I;ancWT9;Iz9;anc;20C;WT;870;0.457760314;0.317241379;-0.140518935;X
58;III.I_ancWT9_Iz9;III.I;III;I;ancWT9;Iz9;anc;20C;WT;859;0.457760314;0.335273574;-0.12248674;X
59;III.I_ancWT9_Iz9;III.I;III;I;ancWT9;Iz9;anc;20C;WT;1067;0.457760314;0.364573571;-0.093186744;X
60;III.II_ancWT9_Iz9;III.II;III;II;ancWT9;Iz9;anc;20C;WT;889;0.419068736;0.409448819;-0.009619917;X
61;III.I_ancWT9_Iz9;III.I;III;I;ancWT9;Iz9;anc;20C;WT;726;0.457760314;0.41046832;-0.047291995;X
62;III.II_ancWT9_Iz9;III.II;III;II;ancWT9;Iz9;anc;20C;WT;522;0.419068736;0.423371648;0.004302911;X
63;III.II_ancWT9_Iz9;III.II;III;II;ancWT9;Iz9;anc;20C;WT;586;0.419068736;0.424914676;0.00584594;X
64;III.II_ancWT9_Iz9;III.II;III;II;ancWT9;Iz9;anc;20C;WT;647;0.419068736;0.43431221;0.015243474;X
65;IV.I_E01_Iz6;IV.I;IV;I;E01;Iz6;ev24;24C;FOG;314;0.664347826;0.423566879;-0.240780947;IV.I_ancFOG6_Iz6
66;IV.I_E01_Iz6;IV.I;IV;I;E01;Iz6;ev24;24C;FOG;459;0.664347826;0.461873638;-0.202474188;IV.I_ancFOG6_Iz6
67;IV.I_E01_Iz6;IV.I;IV;I;E01;Iz6;ev24;24C;FOG;194;0.664347826;0.463917526;-0.2004303;IV.I_ancFOG6_Iz6
68;IV.II_E01_Iz6;IV.II;IV;II;E01;Iz6;ev24;24C;FOG;64;0.686868687;0.46875;-0.218118687;IV.II_ancFOG6_Iz6
69;IV.I_E01_Iz6;IV.I;IV;I;E01;Iz6;ev24;24C;FOG;177;0.664347826;0.508474576;-0.15587325;IV.I_ancFOG6_Iz6
70;IV.II_E01_Iz6;IV.II;IV;II;E01;Iz6;ev24;24C;FOG;232;0.686868687;0.551724138;-0.135144549;IV.II_ancFOG6_Iz6
71;IV.II_E01_Iz6;IV.II;IV;II;E01;Iz6;ev24;24C;FOG;195;0.686868687;0.61025641;-0.076612277;IV.II_ancFOG6_Iz6
72;IV.II_E01_Iz6;IV.II;IV;II;E01;Iz6;ev24;24C;FOG;250;0.686868687;0.64;-0.046868687;IV.II_ancFOG6_Iz6
73;I.I_E02_Iz6;I.I;I;I;E02;Iz6;ev24;24C;FOG;684;0.581896552;0.30994152;-0.271955031;I.I_ancFOG6_Iz6
74;I.II_E02_Iz6;I.II;I;II;E02;Iz6;ev24;24C;FOG;1109;0.529320988;0.314697926;-0.214623062;I.II_ancFOG6_Iz6
75;I.II_E02_Iz6;I.II;I;II;E02;Iz6;ev24;24C;FOG;1179;0.529320988;0.332485157;-0.196835831;I.II_ancFOG6_Iz6
76;I.II_E02_Iz6;I.II;I;II;E02;Iz6;ev24;24C;FOG;356;0.529320988;0.362359551;-0.166961437;I.II_ancFOG6_Iz6
77;I.II_E02_Iz6;I.II;I;II;E02;Iz6;ev24;24C;FOG;1136;0.529320988;0.368838028;-0.160482959;I.II_ancFOG6_Iz6
78;I.I_E02_Iz6;I.I;I;I;E02;Iz6;ev24;24C;FOG;647;0.581896552;0.377125193;-0.204771359;I.I_ancFOG6_Iz6
79;I.I_E02_Iz6;I.I;I;I;E02;Iz6;ev24;24C;FOG;352;0.581896552;0.377840909;-0.204055643;I.I_ancFOG6_Iz6
80;I.I_E02_Iz6;I.I;I;I;E02;Iz6;ev24;24C;FOG;498;0.581896552;0.445783133;-0.136113419;I.I_ancFOG6_Iz6
81;IV.I_E03_Iz6;IV.I;IV;I;E03;Iz6;ev24;24C;FOG;795;0.75177305;0.543396226;-0.208376823;IV.I_ancFOG6_Iz6
82;IV.II_E03_Iz6;IV.II;IV;II;E03;Iz6;ev24;24C;FOG;666;0.770601336;0.585585586;-0.185015751;IV.II_ancFOG6_Iz6
83;IV.I_E03_Iz6;IV.I;IV;I;E03;Iz6;ev24;24C;FOG;751;0.75177305;0.585885486;-0.165887564;IV.I_ancFOG6_Iz6
84;IV.I_E03_Iz6;IV.I;IV;I;E03;Iz6;ev24;24C;FOG;275;0.75177305;0.589090909;-0.162682141;IV.I_ancFOG6_Iz6
85;IV.I_E03_Iz6;IV.I;IV;I;E03;Iz6;ev24;24C;FOG;578;0.75177305;0.589965398;-0.161807652;IV.I_ancFOG6_Iz6
86;IV.II_E03_Iz6;IV.II;IV;II;E03;Iz6;ev24;24C;FOG;508;0.770601336;0.604330709;-0.166270628;IV.II_ancFOG6_Iz6
87;IV.II_E03_Iz6;IV.II;IV;II;E03;Iz6;ev24;24C;FOG;580;0.770601336;0.606896552;-0.163704785;IV.II_ancFOG6_Iz6
88;IV.II_E03_Iz6;IV.II;IV;II;E03;Iz6;ev24;24C;FOG;488;0.770601336;0.680327869;-0.090273467;IV.II_ancFOG6_Iz6
89;I.II_E05_Iz6;I.II;I;II;E05;Iz6;ev24;24C;FOG;1360;0.534450652;0.325735294;-0.208715358;I.II_ancFOG6_Iz6
90;I.II_E05_Iz6;I.II;I;II;E05;Iz6;ev24;24C;FOG;519;0.534450652;0.337186898;-0.197263754;I.II_ancFOG6_Iz6
91;I.II_E05_Iz6;I.II;I;II;E05;Iz6;ev24;24C;FOG;1003;0.534450652;0.360917248;-0.173533404;I.II_ancFOG6_Iz6
92;I.I_E05_Iz6;I.I;I;I;E05;Iz6;ev24;24C;FOG;345;0.575091575;0.368115942;-0.206975633;I.I_ancFOG6_Iz6
93;I.II_E05_Iz6;I.II;I;II;E05;Iz6;ev24;24C;FOG;709;0.534450652;0.410437236;-0.124013416;I.II_ancFOG6_Iz6
94;I.I_E05_Iz6;I.I;I;I;E05;Iz6;ev24;24C;FOG;237;0.575091575;0.421940928;-0.153150647;I.I_ancFOG6_Iz6
