block_unique;block;block.pair;cz;population;isoline;treatment;temperature;repr.type;sum;propN_start;propN_F1;;
II.II_ancWT8_Iz8;II.II;II;II;ancWT8;Iz8;anc;20C;WT;1364;0.45049505;0.43914956;;
II.I_ancWT8_Iz8;II.I;II;I;ancWT8;Iz8;anc;20C;WT;606;0.53777778;0.45049505;;
II.I_ancWT8_Iz8;II.I;II;I;ancWT8;Iz8;anc;20C;WT;444;0.53777778;0.45495496;;
II.I_ancWT8_Iz8;II.I;II;I;ancWT8;Iz8;anc;20C;WT;336;0.53777778;0.46726191;;
II.I_ancWT8_Iz8;II.I;II;I;ancWT8;Iz8;anc;20C;WT;599;0.53777778;0.47579299;;
II.II_ancWT8_Iz8;II.II;II;II;ancWT8;Iz8;anc;20C;WT;1014;0.45049505;0.49901381;;
III.I_ancWT9_Iz9;III.I;III;I;ancWT9;Iz9;anc;20C;WT;870;0.45776031;0.31724138;;
III.I_ancWT9_Iz9;III.I;III;I;ancWT9;Iz9;anc;20C;WT;859;0.45776031;0.33527357;;
III.I_ancWT9_Iz9;III.I;III;I;ancWT9;Iz9;anc;20C;WT;1067;0.45776031;0.36457357;;
III.II_ancWT9_Iz9;III.II;III;II;ancWT9;Iz9;anc;20C;WT;889;0.41906874;0.40944882;;
III.I_ancWT9_Iz9;III.I;III;I;ancWT9;Iz9;anc;20C;WT;726;0.45776031;0.41046832;;
III.II_ancWT9_Iz9;III.II;III;II;ancWT9;Iz9;anc;20C;WT;522;0.41906874;0.42337165;;
III.II_ancWT9_Iz9;III.II;III;II;ancWT9;Iz9;anc;20C;WT;586;0.41906874;0.42491468;;
III.II_ancWT9_Iz9;III.II;III;II;ancWT9;Iz9;anc;20C;WT;647;0.41906874;0.43431221;;
